i,month,year,value
0,Jan,2015,39.65495706479313
1,Feb,2015,38.77245508982036
2,Mar,2015,50.768283294842185
3,Apr,2015,32.2218675179569
4,May,2015,36.685956790123456
5,Jun,2015,38.01283079390537
6,Jul,2015,34.32588597842835
7,Aug,2015,39.83629343629344
8,Sep,2015,36.390612569610184
9,Oct,2015,51.17824074074074
10,Nov,2015,45.82570281124498
11,Dec,2015,48.13661202185792
12,Jan,2016,42.586802827965435
13,Feb,2016,48.99505766062603
14,Mar,2016,44.38191738113796
15,Apr,2016,48.78531073446328
16,May,2016,58.447900466562984
17,Jun,2016,31.688747007182762
18,Jul,2016,33.34283513097073
19,Aug,2016,38.908809891808346
20,Sep,2016,33.59170653907496
21,Oct,2016,41.714615384615385
22,Nov,2016,51.64832535885167
23,Dec,2016,51.938301282051285
24,Jan,2017,51.13519813519814
25,Feb,2017,51.98965517241379
26,Mar,2017,38.66024653312789
27,Apr,2017,37.147736298649725
28,May,2017,40.656346749226
29,Jun,2017,38.18515562649641
30,Jul,2017,43.39076923076923
31,Aug,2017,47.14351851851852
32,Sep,2017,56.310317460317464
33,Oct,2017,45.83756735950731
34,Nov,2017,36.518695306284805
35,Dec,2017,50.09309542280838
36,Jan,2018,53.8171875
37,Feb,2018,50.25692041522491
38,Mar,2018,49.757936507936506
39,Apr,2018,60.57714285714286
40,May,2018,55.03080568720379
41,Jun,2018,36.38060897435897
42,Jul,2018,54.023938223938224
43,Aug,2018,50.88058551617873
44,Sep,2018,44.42323314378554
45,Oct,2018,41.24683544303797
46,Nov,2018,59.69377990430622
47,Dec,2018,53.41089494163424
48,Jan,2019,65.11860465116278
49,Feb,2019,53.81756180733163
50,Mar,2019,51.20743034055727
51,Apr,2019,48.45963229416467
52,May,2019,50.18841698841699
53,Jun,2019,43.66557911908646
54,Jul,2019,40.74429583005507
55,Aug,2019,49.365873015873014
56,Sep,2019,49.07295081967213
57,Oct,2019,72.25987361769353
58,Nov,2019,132.0130505709625
59,Dec,2019,200.31738437001596
